Fold,Accuracy,TP,TN,FP,FN,FPR,FNR,TSS,HSS
1,0.47265625,0,121,0,135,0.0,1.0,0.0,0.0
2,0.49609375,0,127,0,129,0.0,1.0,0.0,0.0
3,0.5078125,130,0,126,0,1.0,0.0,0.0,0.0
4,0.4765625,0,122,0,134,0.0,1.0,0.0,0.0
5,0.49609375,127,0,129,0,1.0,0.0,0.0,0.0
6,0.5137254901960784,131,0,124,0,1.0,0.0,0.0,0.0
7,0.5294117647058824,0,135,0,120,0.0,1.0,0.0,0.0
8,0.5450980392156862,139,0,116,0,1.0,0.0,0.0,0.0
9,0.5294117647058824,0,135,0,120,0.0,1.0,0.0,0.0
10,0.49411764705882355,0,126,0,129,0.0,1.0,0.0,0.0
